GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
uyirgene,com.uyirgene,UyirgeneApplication,8,0,0,0,3,0,2,0,2,0
uyirgene,com.uyirgene.course,EnrollmentController,20,0,0,0,2,0,1,0,1,0
uyirgene,com.uyirgene.course,VideoProgressService,43,101,3,3,3,16,8,2,5,2
uyirgene,com.uyirgene.course,VideoService,36,0,2,0,5,0,3,0,2,0
uyirgene,com.uyirgene.course,EnrollmentService,21,41,0,0,4,10,3,2,3,2
uyirgene,com.uyirgene.course,CertificateService,168,0,2,0,38,0,3,0,2,0
uyirgene,com.uyirgene.course,Enrollment.Status,0,15,0,0,0,2,0,1,0,1
uyirgene,com.uyirgene.course,CourseController,30,5,0,0,5,1,2,1,2,1
uyirgene,com.uyirgene.course,VideoController.ProgressUpdateDto,10,0,0,0,3,0,3,0,3,0
uyirgene,com.uyirgene.course,CertificateController,58,0,2,0,11,0,2,0,1,0
uyirgene,com.uyirgene.course,VideoController,29,0,2,0,6,0,4,0,3,0
uyirgene,com.uyirgene.security,SecurityConfig,42,0,0,0,8,0,5,0,5,0
uyirgene,com.uyirgene.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
uyirgene,com.uyirgene.blog,Blog,13,0,0,0,6,0,2,0,2,0
uyirgene,com.uyirgene.blog,BlogController,90,5,0,0,15,1,5,1,5,1
uyirgene,com.uyirgene.user,Role,0,21,0,0,0,2,0,1,0,1
uyirgene,com.uyirgene.user,CurrentUserService,34,0,2,0,4,0,3,0,2,0
uyirgene,com.uyirgene.user,UserService,0,22,0,0,0,7,0,1,0,1
uyirgene,com.uyirgene.auth,AuthController,20,0,0,0,3,0,2,0,2,0
